,steam_id_a,steam_id_b,lat_a,lon_a,country_a,lat_b,lon_b,country_b
9127,7.656119796263742e+16,7.6561197971881e+16,50.82253000000001,-0.137163,GB,52.406822,-1.519693,GB
9128,7.656119796827757e+16,7.6561197971881e+16,40.0583238,-74.4056612,US,52.406822,-1.519693,GB
9129,7.65611979697933e+16,7.6561197971881e+16,53.7190281,-2.0727839,GB,52.406822,-1.519693,GB
9293,7.656119796125208e+16,7.656119797211664e+16,55.476466,8.459405,DK,51.919438,19.145136,PL
9294,7.656119796161827e+16,7.656119797211664e+16,-40.900557,174.885971,NZ,51.919438,19.145136,PL
9377,7.656119796613322e+16,7.656119797216968e+16,34.0522342,-118.2436849,US,37.09024,-95.712891,US
9378,7.656119796996568e+16,7.656119797216968e+16,40.2671941,-86.1349019,US,37.09024,-95.712891,US
9379,7.656119797043768e+16,7.656119797216968e+16,49.2827291,-123.1207375,CA,37.09024,-95.712891,US
9393,7.656119796481032e+16,7.65611979722628e+16,40.7127753,-74.0059728,US,40.7127753,-74.0059728,US
9429,7.65611979673957e+16,7.65611979722712e+16,61.52401,105.318756,RU,54.83311459999999,112.406053,RU
9466,7.656119796079165e+16,7.656119797229582e+16,51.253775,-85.323214,CA,51.31475930000001,-0.5599501,GB
9467,7.656119796129146e+16,7.656119797229582e+16,52.132633,5.291265999999999,NL,51.31475930000001,-0.5599501,GB
9468,7.65611979671666e+16,7.656119797229582e+16,37.09024,-95.712891,US,51.31475930000001,-0.5599501,GB
9469,7.656119796856482e+16,7.656119797229582e+16,53.4807593,-2.2426305,GB,51.31475930000001,-0.5599501,GB
9470,7.656119797226042e+16,7.656119797229582e+16,53.7190281,-2.0727839,GB,51.31475930000001,-0.5599501,GB
9481,7.65611979656412e+16,7.656119797230248e+16,53.38999099999999,-3.023009,GB,40.44062479999999,-79.9958864,US
9570,7.65611979708838e+16,7.656119797237206e+16,18.4238478,-66.0648787,US,37.09024,-95.712891,US
9673,7.656119796689384e+16,7.656119797245666e+16,44.7002222,-0.2995785,FR,46.227638,2.213749,FR
9742,7.65611979689527e+16,7.656119797252424e+16,52.6367036,9.8450766,DE,51.3387609,6.5853417,DE
9743,7.656119796068134e+16,7.656119797255176e+16,43.1938516,-71.5723953,US,41.8008642,-87.9370052,US
9744,7.65611979693971e+16,7.656119797255176e+16,41.8781136,-87.6297982,US,41.8008642,-87.9370052,US
9745,7.656119797133378e+16,7.656119797255176e+16,46.729553,-94.6858998,US,41.8008642,-87.9370052,US
9762,7.65611979621727e+16,7.656119797252923e+16,41.8780025,-93.097702,US,53.4083714,-2.9915726,GB
9763,7.656119796769179e+16,7.656119797252923e+16,-22.9068467,-43.1728965,BR,53.4083714,-2.9915726,GB
9764,7.65611979691463e+16,7.656119797252923e+16,51.57424469999999,0.4856781,GB,53.4083714,-2.9915726,GB
9799,7.656119796478963e+16,7.656119797261773e+16,-16.290154,-63.58865299999999,BO,-20.9175738,142.7027956,AU
9817,7.65611979670219e+16,7.656119797261232e+16,-15.9650104,-5.7089241,SH,-18.766947,46.869107,MG
9818,7.656119796714542e+16,7.656119797261232e+16,37.09024,-95.712891,US,-18.766947,46.869107,MG
9819,7.656119796758467e+16,7.656119797261232e+16,41.1475954,-73.989306,US,-18.766947,46.869107,MG
9841,7.656119796289074e+16,7.656119797264406e+16,55.8703477,12.8300802,SE,60.12816100000001,18.643501,SE
9842,7.656119796510669e+16,7.656119797264406e+16,59.32932349999999,18.0685808,SE,60.12816100000001,18.643501,SE
9847,7.656119797263338e+16,7.656119797265293e+16,36.778261,-119.4179324,US,45.5051064,-122.6750261,US
