,appid,total_playtime,appname,lat,lon,country
314,230050,174,DLC Quest,34.1667451,132.2191641,JP
326,234710,629,Poker Night 2,34.1667451,132.2191641,JP
344,72850,1061,The Elder Scrolls V: Skyrim,34.1667451,132.2191641,JP
357,218620,8872,PAYDAY 2,34.1667451,132.2191641,JP
441,239820,1854,Game Dev Tycoon,34.1667451,132.2191641,JP
472,206420,1056,Saints Row IV,34.1667451,132.2191641,JP
485,252950,27530,Rocket League,34.1667451,132.2191641,JP
532,209170,1226,Call of Duty: Ghosts - Multiplayer,34.1667451,132.2191641,JP
533,227300,1433,Euro Truck Simulator 2,34.1667451,132.2191641,JP
547,267530,522,The LEGO® Movie - Videogame,34.1667451,132.2191641,JP
571,48700,1794,Mount & Blade: Warband,34.1667451,132.2191641,JP
601,213670,470,South Park™: The Stick of Truth™,34.1667451,132.2191641,JP
613,282350,3359,NBA 2K15,34.1667451,132.2191641,JP
621,285160,511,LEGO® The Hobbit™,34.1667451,132.2191641,JP
640,238460,145,BattleBlock Theater,34.1667451,132.2191641,JP
646,304930,2257,Unturned,34.1667451,132.2191641,JP
667,241930,45,Middle-earth™: Shadow of Mordor™,34.1667451,132.2191641,JP
668,330840,838,Game of Thrones - A Telltale Games Series,34.1667451,132.2191641,JP
716,346900,33,AdVenture Capitalist,34.1667451,132.2191641,JP
719,255710,8133,Cities: Skylines,34.1667451,132.2191641,JP
750,357780,71,Defend Your Life,34.1667451,132.2191641,JP
